Character,Count
 ,394057
া,260314
ে,180127
র,171979
ি,126223
ন,116395
্,107098
ক,97038
ত,78936
ব,76189
ম,68500
ল,67932
স,57046
ই,54271
য়,52653
দ,48981
ু,46863
।,43247
প,41463
ো,37730
য,35530
হ,33724
আ,33605
গ,30520
ট,29763
ছ,28875
জ,27804
এ,27534
শ,23108
ও,18992
চ,18169
খ,16708
ী,15030
",",14860
অ,14344
ভ,13761
ফ,13722
থ,12804
ষ,11750
ড,11433
ধ,11145
উ,9398
ড়,9319
?,7863
ং,6405
ণ,5710
ঁ,4655
ঘ,3938
ঠ,3855
<,3269
>,3267
ঙ,3029
-,3007
ৃ,2681
ূ,2257
ঞ,1937
ঝ,1545
ৌ,1346
ৎ,1067
ৈ,1025
.,897
ঢ,837
!,797
়,572
',434
ঈ,281
:,172
ঃ,128
ঐ,124
‍,123
"""",86
ঋ,83
ঊ,70
;,23
e,18
ঢ়,17
s,16
n,15
d,12
ঔ,12
০,11
a,10
১,10
৩,10
i,9
o,8
r,8
৬,8
৫,7
২,7
u,6
t,6
৪,5
w,5
p,4
c,4
৮,4
/,3
৯,3
I,3
m,2
k,2
C,2
৭,2
৷,2
R,2
b,2
l,2
),2
(,2
G,2
g,2
P,2
\,1
ৗ,1
],1
[,1
#,1
W,1
h,1
•,1
=,1
B,1
N,1
T,1
ৰ,1
