Character,Frequency
া,260613
ে,180387
র,172132
ি,126366
ন,116501
্,107214
ক,97130
ত,79053
ব,76302
ম,68574
ল,68041
স,57101
ই,54376
য়,52668
দ,49020
ু,46930
।,43247
প,41507
ো,37809
য,35614
হ,33761
আ,33658
গ,30567
ট,29800
ছ,28913
জ,27825
এ,27562
শ,23135
ও,19023
চ,18191
খ,16764
ী,15041
",",14864
অ,14354
ভ,13782
ফ,13734
থ,12813
ষ,11762
ড,11458
ধ,11155
উ,9408
ড়,9323
?,7866
ং,6408
ণ,5712
ঁ,4657
ঘ,3942
ঠ,3856
<,3269
>,3267
ঙ,3029
-,3007
ৃ,2687
ূ,2257
ঞ,1937
ঝ,1547
ৌ,1346
ৎ,1067
ৈ,1025
.,897
ঢ,837
!,797
়,600
',434
ঈ,281
:,172
ঃ,129
ঐ,124
‍,123
"""",86
ঋ,83
ঊ,70
;,23
e,18
ঢ়,17
s,16
n,15
d,12
ঔ,12
০,11
a,10
১,10
৩,10
i,9
o,8
r,8
৬,8
৫,7
২,7
u,6
t,6
৪,5
w,5
p,4
c,4
৮,4
/,3
৯,3
I,3
m,2
k,2
C,2
৭,2
৷,2
R,2
b,2
l,2
),2
(,2
G,2
g,2
P,2
\,1
ৗ,1
],1
[,1
#,1
W,1
h,1
•,1
=,1
B,1
N,1
T,1
ৰ,1
