IPA,Count
 ,396213
ɐ,262753
e,205885
o,183675
ɾ,169230
̪,154842
t,129873
n,125731
i,116556
k,115668
ɔ,102653
b,86136
ɪ,83962
d,76750
ʃ,75418
ʰ,73266
l,68124
m,68013
u,60053
̯,59501
͡,54262
p,52432
c,44084
।,43030
ʲ,40590
ɟ,38764
g,33591
h,33492
ʱ,30467
a,24949
s,16749
ɛ,14823
",",14815
/,11226
ŋ,9424
ɽ,9401
?,7453
r,5346
̃,4592
ʷ,3675
<,3269
>,3267
z,3237
-,3003
x,2781
f,2686
ʒ,2231
ɡ,2150
ʈ,1681
"
",1082
.,911
!,788
ɖ,734
v,705
j,600
ː,542
ʧ,435
‘,336
æ,190
:,172
ɦ,166
',108
"""",60
ʤ,44
w,44
ʂ,39
y,31
“,24
;,23
ɲ,20
–,19
ã,17
ɳ,13
ʊ,11
৷,10
 ,8
0,5
ʔ,4
‍,4
6,3
3,3
ẽ,3
õ,3
”,2
ṇ,2
ʋ,2
5,2
2,2
),2
(,2
\,1
—,1
=,1
[,1
],1
T,1
W,1
B,1
|,1
ম,1
া,1
ল,1
á,1
ə,1
ɑ,1
ĩ,1
̥,1
4,1
1,1
7,1
ũ,1
