region,samples,avg_text_chars,avg_words,avg_ipa_chars
Khulna,897,22.96989966555184,4.604236343366778,27.77814938684504
Rajshahi,811,28.580764488286068,5.161528976572133,32.40690505548705
Sylhet,3892,30.777235354573484,5.937821171634122,36.77029804727646
chittagong,4762,42.72868542629148,7.890172196556069,50.73183536329273
kishoreganj,6731,26.868815926311097,5.112464715495468,32.53766156588917
narail,6022,28.9935237462637,5.6834938558618395,34.395383593490536
narshingdi,4509,32.79285872699047,6.105788423153693,39.421157684630735
non-local,21999,69.23369244056548,10.764216555297969,81.38160825492068
rangpur,4042,30.91613062840178,6.149678377041068,37.29836714497773
tangail,4245,31.16372202591284,5.921790341578327,37.2452296819788
