Word,Count
ও,3608
এ,3543
না,3274
<>,2902
তো,2744
আর,2249
না।,2192
এই,2169
আমি,2130
করে,2112
যে,2089
কি,2013
করা,1893
তার,1772
আমার,1768
ওই,1766
হয়।,1608
থেকে,1478
সময়,1216
নিয়ে,1179
তিনি,1146
এক,1125
কিন্তু,1097
হয়েছে।,1053
কোনো,1042
না?,981
তাদের,914
মনে,914
করতে,912
জন্য,908
"বলেন,",907
আমরা,905
সঙ্গে,904
পরে,856
দিয়ে,828
বলে,826
একটি,823
আছে,818
একটা,793
ন,791
কথা,776
এর,775
মানে,772
তুই,766
হবে।,765
হয়ে,743
কিছু,743
ভালো,727
আবার,726
করে।,722
তারা,720
এবং,714
সব,712
করেন।,705
তা,694
অনেক,693
তাকে,683
দুই,676
বড়,667
আগে,666
তবে,624
পর,622
যদি,613
কী,602
দিয়া,601
দে,598
বেশি,593
মধ্যে,584
"না,",578
পুলিশ,575
এখন,568
আছে।,566
যায়।,562
তুমি,557
হয়,554
সে,552
আঁই,548
তোর,539
এহন,539
দেয়া,535
কাজ,518
করেন,506
নাই।,505
"জানান,",487
ফরে,476
দিন,474
করার,471
আঁর,459
বিভিন্ন,458
আরও,455
ভাই,451
বাড়ি,450
কাছে,443
খুব,442
নাম,438
এতে,434
প্রধান,433
শুরু,431
উপজেলার,428
তোমার,425
গ্রামের,420
সেই,414
তাই,403
টাকা,402
ইয়া,398
আমাদের,380
যায়,379
আমারে,377
এসব,376
এইডা,372
কইরা,369
শেষ,368
মানুষ,367
হবে,360
বা,357
নাই,352
ভালা,351
লগে,348
নতুন,344
ওর,342
উপজেলা,342
লাগে,339
রয়েছে।,336
হিসেবে,332
হচ্ছে,330
অভিযোগ,330
গেছে।,327
জেলা,322
মতো,318
বিরুদ্ধে,313
উদ্ধার,311
খালি,310
কয়,306
যা,304
কারণে,304
মুই,303
গেছে,303
নেই।,298
দেখা,296
মোর,295
তুমার,294
কেউ,292
হ,292
দি,292
তিন,291
রাতে,291
খবর,289
করো,288
ঠিক,285
বছর,284
কিতা,283
দিতে,281
এলাকায়,281
হলে,280
ঘটনা,280
ছিলেন,278
লাশ,278
মো.,276
হাজার,273
দেশের,272
জানা,271
অয়,271
তে,270
এডে,268
এলাকার,268
বিষয়টি,267
বিষয়ে,267
হাসপাতালে,264
ই,261
হচ্ছে।,261
করি,260
পানি,257
ঢাকা,257
ধরে,257
তিনি।,255
গরি,255
কোন,254
নিয়া,253
মাধ্যমে,252
হয়েছে,251
বৃহস্পতিবার,249
বাংলাদেশ,249
এইযে,248
সাথে,248
আওয়ামী,247
সুন্দর,246
সকালে,245
বুধবার,244
ফলে,243
তাইলে,242
ইতে,242
মা,242
স্থানীয়,240
অই,240
করেছেন।,239
এবার,238
গ্রেফতার,238
সামনে,237
অইছে,237
বালা,237
শেষে,236
ওপর,234
হতে,234
মাঝে,234
পাওয়া,233
হোসেন,233
আটক,232
সেখানে,232
চেষ্টা,230
বন্ধ,230
মামলা,230
তর,230
দেয়।,229
থানায়,227
ছিল,227
এমন,227
একটু,225
করেছে।,224
ভর্তি,224
থানার,224
ধরনের,221
একজন,221
জাতীয়,220
নেয়া,218
তুন,218
প্রথম,217
তো।,217
তথ্য,215
"হ,",215
এডা,214
দেন।,214
দলের,214
সবাই,214
ইউনিয়নের,213
রোববার,213
সমস্যা,213
একই,213
কতা,213
পর্যন্ত,212
আহত,212
এট্টা,212
সভাপতি,212
ঘটনায়,211
শনিবার,211
ইসলাম,209
দেয়,209
বাংলাদেশের,209
ছাড়া,208
সাধারণ,208
চেয়ারম্যান,208
উপস্থিত,208
কলেজ,207
নামে,207
সোমবার,206
বাড়ির,206
ছেলে।,205
শুক্রবার,205
চলে,203
লইয়া,203
মাছ,203
ইবে,202
করেছে,202
কই,202
অহন,201
আঁরা,201
করছে।,200
পেয়ে,199
নিহত,199
"আছে,",199
দাবি,199
এটা,198
হে,195
বিয়া,195
এরপর,195
দাম,194
এছাড়া,194
ফোন,194
বলা,194
যারা,193
মঙ্গলবার,192
কারণ,192
ছেলে,192
গেলে,192
কি?,191
গিয়ে,191
করেছেন,189
হয়নি।,189
ব্যবস্থা,188
দেয়ার,188
করলে,188
বাড়িতে,188
আরে,187
সরকারি,186
অনুষ্ঠানে,186
রহমান,184
বিশেষ,184
দুটি,184
অন্য,183
পুলিশের,183
ছোট,183
হওয়ার,181
ওকগো,181
আমরার,180
থাকি,179
ছিল।,178
আবদুল,178
মানুষের,177
নয়।,177
হাতে,176
অতিথি,175
নিশ্চিত,175
পারে,175
পারে।,174
জানি,173
যাওয়ার,173
লীগের,172
ব্যাপারে,172
কর,172
"যে,",171
সদস্য,171
অনুষ্ঠিত,170
ঘোষণা,170
নিতে,170
"যায়,",170
গান,169
আসলে,168
দেন,168
"হয়,",168
যাই,168
পাশাপাশি,167
দিলে,167
তারফরে,167
পড়ে,166
লাগি,166
অংশ,166
এলা,166
খারাপ,165
নিজের,165
ভিডিও,165
ছিলেন।,164
এট্টু,164
লোকজন,163
করছে,163
তুলে,163
:,163
বক্তব্য,162
এসে,162
থাকে,162
সম্পাদক,160
দে।,159
হেই,159
পরিবারের,158
দেশে,158
অত,157
তৈরি,156
দুপুরে,156
আফনে,156
মোবাইল,156
ছবি,156
আলী,155
এদিকে,155
দিকে,154
আছে?,154
তই,154
প্রতি,153
মন,153
নাকি,152
অবস্থায়,152
এটি,152
নির্বাচন,151
ব্যবহার,151
টেহা,150
<>।,150
তখন,150
আঁরার,149
ঘটনার,149
সরকার,148
বাবা,148
বিয়ে,148
বেশ,148
থাকে।,148
বিকালে,148
সদর,148
বই,147
খরদে,147
শুধু,147
প্রকাশ,146
সরকারের,145
কম,145
ঘটে।,145
কর্মকর্তা,144
।,144
রয়েছে,144
কমিটির,143
ইয়্যিন,143
আরো,142
আদালতে,142
শেখ,142
থাকা,141
সভায়,141
কত,141
এগিয়ে,140
বাদ,139
নানা,139
অর,139
দল,139
বাইরে,138
পাঠানো,138
মারা,138
অবস্থা,138
খান,138
ভাত,137
মেডিকেল,137
আই,137
বাড়িত,136
যাবে।,136
গাড়ি,136
থাকতে,136
শিক্ষক,136
নি?,136
প্রায়,136
সাবেক,135
ক,135
দেখতে,134
এখনও,134
দ্বিতীয়,133
দশ,133
যাবে,133
লয়,132
ভাই।,132
পুলিশ।,131
আঁরে,131
যেন,131
আলোচনা,131
মৃত,131
অইয়া,130
গত,130
সবচেয়ে,130
ওইযে,129
দায়িত্ব,129
খতা,129
সুযোগ,128
বাইর,128
লাগে।,128
অর্থ,127
হাত,127
বন্ধু,127
কাম,126
"জানায়,",126
সৃষ্টি,125
আমাগে,125
বিভাগের,125
পাঁচ,125
পালিয়ে,124
আজ,124
বছরের,123
তদন্ত,123
আসে।,122
থেকেই,122
বের,122
তারপরে,122
অনে,122
রেখে,122
যাওয়া,121
কইরে,121
যেতে,121
খেলা,121
সম্পর্কে,121
হল,120
হন।,120
টাহা,120
মামলার,119
গরম,119
যার,119
মাস,119
গিয়া,118
হত্যা,118
ইতারা,117
থানা,117
পালন,117
ওসি,117
মোহাম্মদ,116
মেলা,116
বিশ্ববিদ্যালয়ের,116
হলেও,115
আইচ্ছা,115
দ্রুত,115
জেলার,115
যখন,115
হক,115
জাগা,114
একদিন,114
সংবাদ,113
বয়স,113
বর্তমানে,113
চার,113
সম্ভব,113
নেয়ার,113
বিএনপির,112
ক্ষেত্রে,112
কেমন,112
নি,112
জানান।,112
বিশ,112
লাখ,111
বউত,111
বেশি।,111
শিক্ষা,111
বলতে,111
আগুন,110
ছয়,110
আছিল,109
আয়োজন,109
রাখা,109
ইতা,109
তারা।,109
খাবার,108
তাও,108
এতো,108
বাংলাদেশে,108
এক্কান,108
আরেক,108
ফানি,107
দেহা,107
কাছ,107
আদালত,107
মাঠে,107
মিয়া,107
পড়ে।,106
সিদ্ধান্ত,106
চেয়ে,106
কমিটি,106
স্বাস্থ্য,106
চাই,105
চিন্তা,105
ব্যবসা,105
অ,105
বাজার,105
বাসায়,105
কাজে,105
আলম,105
নাই?,105
উদ্দিন,105
জানানো,105
দেখে,104
ভারতের,104
"গেছে,",104
লাল,104
ওরে,103
যান।,103
স্যার,103
পক্ষে,103
আবেদন,103
লোক,103
হইলো,103
চলছে।,102
যুগান্তরকে,102
হওয়ায়,102
আসে,102
থাকলে,102
আমাকে,101
গ্রামে,101
লই,101
থাকায়,101
হামলা,101
নির্বাহী,101
",",101
এত,101
অভিযান,100
কচ্ছে,100
মেয়ে,100
পাশে,100
গাছ,100
"নাই,",100
মনো,100
চাকরি,100
লীগ,99
করি।,99
অয়।,99
রে,99
দা,99
গা।,99
এনো,99
বাক্কা,99
তুমিতাইন,99
ফিরে,98
নায়,98
আস্তে,98
অচ্ছে,98
প্রধানমন্ত্রী,97
মাসে,97
আগের,97
গরু,97
ঘরের,97
ইয়্যেন,97
ড.,96
অধ্যাপক,96
সম্পর্ক,96
গ্রহণ,96
হুম,96
দেহি,96
হামার,96
এখটা,95
বাইত,95
স্কুল,95
ঢাকায়,95
অইলো,95
জমা,95
সম্প্রতি,94
নেতা,94
ম্যাচ,94
চালিয়ে,94
লাই,94
এনে,94
শহরের,94
চা,94
লাভ,94
অইলে,93
নাকি?,93
প্রার্থী,93
শিশু,93
হইছে,93
আম,93
তারপর,93
পরীক্ষা,93
তহন,93
দেশ,93
নির্দেশ,92
কয়েক,92
পক্ষ,92
হওয়া,92
ইতের,92
আশা,92
ধান,92
দাফন,92
সবার,91
স্ত্রী,91
রাখতে,91
ফির,91
নয়,91
আইয়া,90
পরিস্থিতি,90
কী?,90
ক্লাস,89
মইদ্দে,89
জানান,89
স্থানে,89
জানতে,89
আগামী,89
আলাদা,89
আসা,89
চিকিৎসা,89
বউ,89
ভাড়া,88
ভাল,88
আপনি,88
চায়,88
আসামি,88
সেটা,88
ইউনিয়ন,88
আদালতের,88
পরিচালনা,88
দরকার,88
দিয়েছেন।,88
বাজারে,88
নিজ,88
যায়নি।,88
করছি।,88
সংশ্লিষ্ট,87
উদ্বোধন,87
"তো,",87
কতো,87
এখানে,87
যাচ্ছে,87
করছেন।,87
দীর্ঘদিন,87
মিয়ার,86
সময়ে,86
টেঁয়া,86
দিতি,86
অতিরিক্ত,86
ফুল,86
ওইয়ে,86
দিছে,86
পুরো,85
বাকি,85
খেলার,85
নষ্ট,85
বিষয়,85
হইয়ে,84
খাওয়া,84
আফনার,84
তোরে,84
অবস্থান,84
কিনা,84
জীবন,84
সভাপতিত্ব,84
আ,84
মজা,83
একাধিক,83
নিরাপত্তা,83
এইগিন,83
মাদক,83
চাইর,83
নির্বাচনে,83
ভেঙে,83
আবুল,83
হ্যাঁ,82
খুবই,82
জিনিস,82
থাকার,82
ব্যাংকের,82
"নয়,",82
বিয়ের,82
উত্তর,82
এরা,82
এরফরে,82
চৌধুরী,82
রাস্তা,82
হইয়া,81
যাইয়ে,81
চাইলে,81
